债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
25汇金MTN007,100.01,1.725,2.0,1.725,13.3
25进出13,99.49,1.623,-0.2,1.6285,13.2
19国开05,105.07,1.6325,1.0,1.632,13.1
25建设银行CD146,98.12,1.431,-0.83,1.4313,13.1
26徽商银行CD039,98.85,1.54,,1.54,13.0
22北京债07,101.28,1.23,1.0,1.2171,13.0
25建设银行CD447,99.61,1.4304,-0.01,1.4299,13.0
25建设银行CD382,98.42,1.5249,-0.51,1.5249,13.0
20农发10,109.07,1.7325,1.0,1.7282,12.8
26民生银行CD051,98.46,1.565,-0.5,1.5687,12.5
22附息国债03,106.62,1.5775,-0.25,1.5773,12.4
20江苏债12,105.49,1.597,-0.03,1.5906,12.3
26工商银行CD033,98.86,1.5375,0.24,1.5381,12.3
23山东债59,104.73,1.57,-0.5,1.5706,12.3
24农发03,100.62,1.495,1.0,1.4949,12.2
26工商银行CD037,98.47,1.554,-0.35,1.5557,12.2
25交通银行CD229,98.43,1.5336,0.95,1.5415,12.0
26江苏银行CD047,98.46,1.5625,-0.75,1.5669,12.0
26湖南银行CD019,99.23,1.54,,1.54,12.0
26中信银行CD060,98.46,1.5625,0.25,1.5602,12.0
25光大银行CD247,98.83,1.5301,-3.99,1.5301,12.0
25中国银行CD030,98.39,1.5101,-2.0,1.5118,12.0
25光大银行CD245,98.45,1.537,1.0,1.537,12.0
23天津108,108.14,1.8901,,1.8901,12.0
24国开15,102.64,1.915,-0.75,1.9175,11.8
25汇金MTN008,100.08,1.725,0.5,1.7247,11.7
26内蒙古债02,100.0,2.4899,-2.01,2.4937,11.6
25建设银行CD187,98.3,1.5099,0.97,1.5099,11.5
19附息国债15,106.73,1.26,-3.0,1.2596,11.4
26国开01,100.0,1.51,-0.5,1.5102,11.3
26广东债05,98.79,2.5075,0.25,2.5055,11.2
26南京银行CD088,98.46,1.5599,,1.5599,11.0
19进出10,106.79,1.6575,0.24,1.6584,11.0
25超长特别国债04,93.64,2.3303,1.28,2.321,10.8491
20附息国债04,118.49,2.375,1.0,2.3714,10.725
25进出清发007,99.71,1.5847,-1.1,1.5966,10.7
26浙江08,99.06,1.985,1.5,1.9893,10.6
25华夏银行永续债01,100.31,,,,10.6
23建行永续债01,103.41,,,,10.6
25甘肃19,100.03,1.765,,1.7638,10.5
24附息国债11,104.02,1.742,0.4,1.7408,10.32
22国开05,106.67,1.79,0.25,1.7894,10.3
24附息国债25,99.26,1.625,0.5,1.6231,10.2078
24国开10,103.31,1.9075,0.25,1.9059,10.2
25农发05,98.9,1.7,1.0,1.6973,10.0
26广州城投MTN001,100.0,2.47,,2.47,10.0
26广发银行CD032,98.46,1.56,1.0,1.5595,10.0
25工商银行CD130,98.2,1.5005,-0.93,1.5005,10.0
26光大银行CD022,98.47,1.5575,-0.24,1.559,10.0
26江苏银行CD036,98.72,1.7501,20.02,1.59,10.0
26湖北银行CD011,99.61,1.5597,-0.04,1.5597,10.0
25长沙银行CD285,99.21,1.5199,0.97,1.5199,10.0
26宁波银行CD078,99.62,1.5201,,1.5201,10.0
26广州农村商业银行CD020,99.61,1.5597,,1.5597,10.0
25上海农商银行CD105,98.64,1.9,1.0,1.9,10.0
25农行二级资本债04A(BC),100.28,2.1068,-0.39,2.1097,9.9
